fid,Riproietta
"617",0.77234
"618",0.77006
"619",0.80637
"620",0.82131
"621",0.74596
"622",0.75659
"623",0.76285
"624",0.78927
"625",0.83073
"626",0.79305
"627",0.81455
"628",0.7921
"629",0.79469
"630",0.74844
"631",0.80772
"632",0.85034
"633",0.81218
"634",0.729
"635",0.7643
"636",0.81981
"637",0.76139
"638",0.71904
"639",0.75344
"640",0.74724
"641",0.71053
"642",0.72892
"643",0.77137
"644",0.77668
"645",0.80683
"646",0.76593
"647",0.78569
"648",0.78388
"649",0.76492
"650",0.76608
"651",0.75198
"652",0.76277
"653",0.7375
"654",0.75973
"655",0.77939
"656",0.76717
"657",0.72963
"658",0.72512
"659",0.73476
"660",0.76391
"661",0.84977
"662",0.86263
"663",0.91013
"664",0.81345
"665",0.74554
"666",0.85104
"667",0.78992
"668",0.78389
"669",0.77975
"670",0.76793
"671",0.77787
"672",0.7971
"673",0.82643
"674",0.75565
"675",0.77807
"676",0.78822
"677",0.7622
"678",0.71467
"679",0.78017
"680",0.77096
"681",0.74839
"682",0.75496
"683",0.75659
"684",0.76788
"685",0.6833
"686",0.7432
"687",0.62657
"688",0.66348
"689",0.7199
"690",0.80456
"691",0.89823
"692",0.82285
"693",0.8403
"694",0.79749
"695",0.78932
"696",0.72464
"697",0.78849
"698",0.67925
"699",0.74544
"700",0.76754
"701",0.77985
"702",0.73274
"703",0.82669
"704",0.83187
"705",0.84416
"706",0.85334
"707",0.86625
"708",0.84134
"709",0.83247
"710",0.79702
"711",0.82141
"712",0.79208
"713",0.76529
"714",0.73544
"715",0.75132
"716",0.74934
"717",0.72372
"718",0.7069
"719",0.70902
"720",0.78549
"721",0.81769
"722",0.75491
"723",0.69259
"724",0.76169
"725",0.73794
"726",0.7225
"727",0.74236
"728",0.78856
"729",0.78823
"730",0.84732
"731",0.82326
"732",0.78753
"733",0.80915
"734",0.79129
"735",0.83313
"736",0.81263
"737",0.77112
"738",0.79074
"739",0.7541
"740",0.80325
"741",0.72951
"742",0.69908
"743",0.70225
"744",0.75986
"745",0.71152
"746",0.73328
"747",0.79405
"748",0.79904
"749",0.76275
"750",0.78193
"751",0.77514
"752",0.83799
"753",0.74868
"754",0.77646
"755",0.74792
"756",0.77357
"757",0.82234
"758",0.8009
"759",0.82806
"760",0.81972
"761",0.80987
"762",0.75316
"763",0.77018
"764",0.84513
"765",0.85772
"766",0.81071
"767",0.8056
"768",0.81785
"769",0.73096
"770",0.79172
"771",0.79239
"772",0.82338
"773",0.70838
"774",0.69305
"775",0.7543
"776",0.75984
"777",0.79145
"778",0.80354
"779",0.79525
"780",0.80867
"781",0.77916
"782",0.75263
"783",0.75222
"784",0.76125
"785",0.76994
"786",0.76641
"787",0.73307
"788",0.7
"789",0.70267
"790",0.72971
"791",0.76461
"792",0.74186
"793",0.81829
"794",0.86439
"795",0.74538
"796",0.81395
"797",0.79804
"798",0.86692
"799",0.80473
"800",0.78606
"801",0.77955
"802",0.72749
"803",0.81628
"804",0.79234
"805",0.78468
"806",0.71526
"807",0.79021
"808",0.74714
"809",0.76352
"810",0.73056
"811",0.74225
"812",0.77923
"813",0.75193
"814",0.74948
"815",0.75659
"816",0.78305
"817",0.77888
"818",0.72529
"819",0.6433
"820",0.7697
"821",0.72688
"822",0.73238
"823",0.81818
"824",0.74837
"825",0.89048
"826",0.83572
"827",0.7476
"828",0.81852
"829",0.75449
"830",0.67472
"831",0.78621
"832",0.75333
"833",0.74406
"834",0.81305
"835",0.88119
"836",0.81207
"837",0.81139
"838",0.79599
"839",0.85261
"840",0.81729
"841",0.8871
"842",0.77126
"843",0.79749
"844",0.8138
"845",0.84574
"846",0.74073
"847",0.73197
"848",0.7831
"849",0.73201
"850",0.68634
"851",0.70548
"852",0.69916
"853",0.77312
"854",0.625
"855",0.66266
"856",0.77432
"857",0.77077
"858",0.7457
"859",0.63812
"860",0.66153
"861",0.81996
"862",0.85209
"863",0.79688
"864",0.82273
"865",0.81866
"866",0.8006
"867",0.81053
"868",0.79183
"869",0.78508
"870",0.81393
"871",0.83673
"872",0.78007
"873",0.74491
"874",0.73223
"875",0.7085
"876",0.80556
"877",0.6946
"878",0.66932
"879",0.71121
"880",0.75769
"881",0.73817
"882",0.80621
"883",0.82005
"884",0.80191
"885",0.7759
"886",0.75995
"887",0.79262
"888",0.79071
"889",0.80748
"890",0.81655
"891",0.78035
"892",0.7588
"893",0.78049
"894",0.78681
"895",0.79944
"896",0.80272
"897",0.78623
"898",0.84156
"899",0.77594
"900",0.79466
"901",0.77049
"902",0.82762
"903",0.8097
"904",0.82989
"905",0.80405
"906",0.71453
"907",0.72371
"908",0.73116
"909",0.78897
"910",0.82407
"911",0.80335
"912",0.81025
"913",0.79667
"914",0.76477
"915",0.74151
"916",0.73603
"917",0.7471
"918",0.7417
"919",0.74864
"920",0.7281
"921",0.75151
"922",0.7353
"923",0.7579
"924",0.74774
"925",0.82989
"926",0.77271
"927",0.75682
"928",0.79922
"929",0.72369
"930",0.81289
"931",0.86825
"932",0.81157
"933",0.73976
"934",0.72689
"935",0.78787
"936",0.71352
"937",0.74716
"938",0.71242
"939",0.75
"940",0.75947
"941",0.74131
"942",0.76786
"943",0.73583
"944",0.72957
"945",0.75262
"946",0.78487
"947",0.78781
"948",0.758
"949",0.79652
"950",0.79105
"951",0.74342
"952",0.84779
"953",0.79498
"954",0.79048
"955",0.77168
"956",0.77285
"957",0.8204
"958",0.79788
"959",0.78892
"960",0.77009
"961",0.6578
"962",0.76021
"963",0.74731
"964",0.74976
"965",0.77865
"966",0.88896
"967",0.85643
"968",0.81695
"969",0.83125
"970",0.78644
"971",0.80985
"972",0.82453
"973",0.84704
"974",0.78707
"975",0.76646
"976",0.89311
"977",0.84197
"978",0.76726
"979",0.75904
"980",0.81484
"981",0.75376
"982",0.70604
"983",0.65048
"984",0.74317
"985",0.76885
"986",0.60756
"987",0.71744
"988",0.76784
"989",0.82914
"990",0.8211
"991",0.74686
"992",0.7948
"993",0.83813
"994",0.80828
"995",0.7893
"996",0.84954
"997",0.80267
"998",0.77944
"999",0.81253
"1000",0.80446
"1001",0.76223
"1002",0.78606
"1003",0.73926
"1004",0.78557
"1005",0.73726
"1006",0.82287
"1007",0.81546
"1008",0.83516
"1009",0.76633
"1010",0.76559
"1011",0.75527
"1012",0.81898
"1013",0.82556
"1014",0.80086
"1015",0.83481
"1016",0.79916
"1017",0.74476
"1018",0.7908
"1019",0.81027
"1020",0.80312
"1021",0.76147
"1022",0.77493
"1023",0.76578
"1024",0.76894
"1025",0.73456
"1026",0.71665
"1027",0.72862
"1028",0.79713
"1029",0.78064
"1030",0.73302
"1031",0.72657
"1032",0.79489
"1033",0.76977
"1034",0.78671
"1035",0.77314
"1036",0.82499
"1037",0.84866
"1038",0.761
"1039",0.69662
"1040",0.74168
"1041",0.75045
"1042",0.79086
"1043",0.80976
"1044",0.7793
"1045",0.77645
"1046",0.73534
"1047",0.73677
"1048",0.74922
"1049",0.74873
"1050",0.69283
"1051",0.75407
"1052",0.75537
"1053",0.77171
"1054",0.7634
"1055",0.753
"1056",0.77098
"1057",0.81818
"1058",0.73676
"1059",0.73385
"1060",0.73463
"1061",0.75444
"1062",0.81052
"1063",0.83856
"1064",0.81871
"1065",0.6927
"1066",0.66362
"1067",0.74578
"1068",0.71581
"1069",0.75903
"1070",0.78022
"1071",0.77202
"1072",0.81715
"1073",0.70403
"1074",0.73066
"1075",0.83349
"1076",0.80287
"1077",0.75783
"1078",0.79767
"1079",0.81116
"1080",0.76561
"1081",0.73315
"1082",0.75284
"1083",0.83808
"1084",0.78089
"1085",0.85217
"1086",0.86822
"1087",0.75747
"1088",0.85276
"1089",0.82751
"1090",0.78993
"1091",0.74737
"1092",0.69557
"1093",0.72767
"1094",0.76564
"1095",0.84154
"1096",0.78514
"1097",0.7916
"1098",0.82777
"1099",0.78599
"1100",0.76441
"1101",0.78048
"1102",0.7913
"1103",0.78015
"1104",0.81943
"1105",0.84326
"1106",0.84822
"1107",0.86008
"1108",0.88754
"1109",0.79477
"1110",0.77536
"1111",0.74537
"1112",0.82367
"1113",0.76673
"1114",0.70505
"1115",0.58207
"1116",0.7468
"1117",0.76158
"1118",0.74756
"1119",0.80717
"1120",0.90199
"1121",0.87173
"1122",0.77869
"1123",0.77689
"1124",0.81934
"1125",0.76137
"1126",0.81691
"1127",0.82592
"1128",0.83891
"1129",0.78674
"1130",0.79774
"1131",0.8566
"1132",0.78771
"1133",0.75914
"1134",0.80218
"1135",0.76296
"1136",0.77135
"1137",0.77425
"1138",0.77124
"1139",0.78306
"1140",0.79093
"1141",0.74053
"1142",0.74086
"1143",0.7595
"1144",0.83821
"1145",0.76146
"1146",0.78938
"1147",0.81161
"1148",0.80533
"1149",0.78142
"1150",0.78635
"1151",0.74917
"1152",0.75405
"1153",0.7707
"1154",0.76334
"1155",0.74603
"1156",0.73512
"1157",0.68117
"1158",0.67048
"1159",0.67914
"1160",0.76362
"1161",0.80503
"1162",0.70916
"1163",0.73753
"1164",0.7471
"1165",0.76748
"1166",0.71515
"1167",0.75375
"1168",0.84909
"1169",0.8876
"1170",0.8452
"1171",0.73021
"1172",0.74983
"1173",0.76886
"1174",0.75569
"1175",0.75403
"1176",0.73716
"1177",0.73974
"1178",0.71774
"1179",0.72819
"1180",0.71775
"1181",0.71144
"1182",0.67674
"1183",0.70882
"1184",0.72208
"1185",0.74462
"1186",0.72096
"1187",0.69695
"1188",0.70519
"1189",0.84367
"1190",0.75319
"1191",0.78049
"1192",0.77712
"1193",0.74359
"1194",0.79314
"1195",0.78152
"1196",0.7627
"1197",0.74199
"1198",0.71632
"1199",0.77375
"1200",0.77131
"1201",0.79031
"1202",0.77905
"1203",0.73929
"1204",0.76555
"1205",0.69106
"1206",0.70319
"1207",0.80722
"1208",0.80284
"1209",0.81217
"1210",0.78593
"1211",0.76768
"1212",0.78564
"1213",0.76312
"1214",0.78853
"1215",0.7655
"1216",0.75222
"1217",0.8504
"1218",0.86283
"1219",0.83824
"1220",0.83405
"1221",0.74715
"1222",0.76449
"1223",0.79736
"1224",0.67438
"1225",0.82556
"1226",0.82192
"1227",0.85923
"1228",0.74005
"1229",0.80427
"1230",0.78071
"1231",0.7578
"1232",0.80284
"1233",0.81322
"1234",0.79659
"1235",0.80768
"1236",0.78365
"1237",0.80833
"1238",0.83124
"1239",0.87688
"1240",0.83107
"1241",0.75114
"1242",0.73555
"1243",0.74797
"1244",0.7344
"1245",0.75115
"1246",0.80033
"1247",0.77873
"1248",0.79613
"1249",0.74292
"1250",0.74878
"1251",0.82157
"1252",0.84684
"1253",0.82299
"1254",0.77499
"1255",0.76221
"1256",0.82448
"1257",0.78548
"1258",0.85763
"1259",0.82705
"1260",0.80842
"1261",0.81991
"1262",0.80316
"1263",0.82612
"1264",0.7989
"1265",0.80367
"1266",0.84686
"1267",0.7947
"1268",0.79759
"1269",0.79736
"1270",0.73406
"1271",0.81401
"1272",0.79238
"1273",0.68614
"1274",0.77904
"1275",0.76432
"1276",0.77669
"1277",0.76967
"1278",0.83605
"1279",0.74349
"1280",0.79088
"1281",0.80192
"1282",0.78635
"1283",0.70979
"1284",0.73986
"1285",0.80923
"1286",0.80026
"1287",0.79219
"1288",0.75
"1289",0.68885
"1290",0.76268
"1291",0.72053
"1292",0.72755
"1293",0.76643
"1294",0.68676
"1295",0.70572
"1296",0.70168
"1297",0.76406
"1298",0.70024
"1299",0.78971
"1300",0.84458
"1301",0.85273
"1302",0.85035
"1303",0.78164
"1304",0.75764
"1305",0.73649
"1306",0.73649
"1307",0.718
"1308",0.75076
"1309",0.74199
"1310",0.74033
"1311",0.74457
"1312",0.79321
"1313",0.71596
"1314",0.71244
"1315",0.70224
"1316",0.71276
"1317",0.71093
"1318",0.73769
"1319",0.71879
"1320",0.69743
"1321",0.79096
"1322",0.78363
"1323",0.72077
"1324",0.7793
"1325",0.73474
"1326",0.75577
"1327",0.76111
"1328",0.76105
"1329",0.74199
"1330",0.67861
"1331",0.78006
"1332",0.77354
"1333",0.79297
"1334",0.77488
"1335",0.74
"1336",0.65317
"1337",0.648
"1338",0.69644
"1339",0.71544
"1340",0.80089
"1341",0.76089
"1342",0.75088
"1343",0.77228
"1344",0.7383
"1345",0.70626
"1346",0.79185
"1347",0.8155
"1348",0.77665
"1349",0.81061
"1350",0.85642
